iter	R2	RMSE
0	0.03084136634	0.5663668297
1	0.05874096217	0.5581551745
2	0.08558352701	0.5501389526
3	0.1114743354	0.5422947051
4	0.1339183071	0.535401773
5	0.1556471561	0.5286428479
6	0.1770701758	0.5218933664
7	0.196470916	0.5157048029
8	0.2140068525	0.510046481
9	0.2293008777	0.5050598064
10	0.2427960405	0.5006184069
11	0.2569071732	0.4959317467
12	0.2691094244	0.4918430701
13	0.2810010392	0.4878255097
14	0.292799265	0.4838065318
15	0.3034133718	0.4801621718
16	0.3147525354	0.4762380533
17	0.3241652866	0.4729558735
18	0.335107483	0.4691115202
19	0.3462224744	0.465173932
20	0.3568370449	0.4613822543
21	0.3667990412	0.4577951186
22	0.3752309503	0.4547368292
23	0.3847099035	0.4512740266
24	0.3924758227	0.4484170928
25	0.4006028399	0.4454076954
26	0.4074494204	0.4428565672
27	0.4151256039	0.4399787288
28	0.4209041596	0.4377998399
29	0.4273556771	0.4353543172
30	0.433211708	0.4331225656
31	0.4391161592	0.4308606574
32	0.4459920819	0.4282115347
33	0.4517547823	0.4259786194
34	0.4563831979	0.4241767023
35	0.4612253615	0.4222833399
36	0.4658700344	0.4204591881
37	0.4698853755	0.4188757982
38	0.4740197288	0.417239199
39	0.4777580654	0.4157538183
40	0.481237284	0.414366611
41	0.4850772671	0.412830151
42	0.4888295917	0.4113232209
43	0.4918037945	0.4101248502
44	0.4946962636	0.4089560434
45	0.4980931272	0.4075791385
46	0.5011007036	0.4063561354
47	0.5036220901	0.4053279934
48	0.5066293452	0.4040983089
49	0.5093177854	0.4029958131
50	0.5120719022	0.4018632477
51	0.5155415588	0.4004318738
52	0.517410596	0.3996586957
53	0.5200185197	0.3985773507
54	0.5218295322	0.3978247063
55	0.5236400601	0.3970708372
56	0.5254436713	0.3963184224
57	0.5276877716	0.395380249
58	0.5298528908	0.3944729798
59	0.5313754404	0.3938337206
60	0.5340505109	0.3927080426
61	0.5354378303	0.3921229817
62	0.5369936816	0.3914658073
63	0.5384981107	0.3908293023
64	0.5403110437	0.3900608931
65	0.5422952862	0.3892181358
66	0.5439570575	0.3885109335
67	0.545582555	0.3878179206
68	0.5469109004	0.3872506744
69	0.5484844293	0.3865776499
70	0.5496950929	0.3860590303
