iter	Passed	Remaining
0	530	794766
1	947	709722
2	1199	598645
3	1628	609155
4	1990	595078
5	2332	580757
6	2583	550995
7	2933	547066
8	3196	529627
9	3576	532934
10	3837	519396
11	3963	491495
12	4347	497310
13	4582	486365
14	4835	478742
15	5208	483086
16	5537	483096
17	5721	471109
18	6129	477781
19	6421	475192
20	6716	473009
21	7018	471513
22	7246	465331
23	7751	476694
24	8073	476342
25	8288	469907
26	8606	469557
27	8893	467528
28	9219	467630
29	9527	466830
30	9834	466032
31	10153	465790
32	10561	469510
33	11131	479950
34	11785	493297
35	12332	501534
36	13253	524050
37	13617	523896
38	13871	519639
39	14177	517466
40	14512	516448
41	14760	512404
42	15124	512470
43	15372	508686
44	15600	504415
45	15867	501558
46	16064	496623
47	16335	494138
48	16598	491507
49	16859	488937
50	17319	492071
51	17654	491600
52	17921	489280
53	18881	505600
54	20092	527891
55	21783	561710
56	23191	587114
57	23949	595423
58	24456	597325
59	25556	613344
60	26176	617509
61	26865	623107
62	27516	627639
63	27920	626471
64	28302	624824
65	28676	623057
66	29011	620489
67	29291	616836
68	29604	613962
69	30000	612859
70	30536	614599
71	30818	611224
72	31036	606705
73	31308	603315
74	31601	600435
75	31962	598867
76	32170	594534
77	32594	594231
78	32829	590516
79	33056	586757
80	33267	582789
81	33510	579485
82	33783	576767
83	34040	573822
84	34221	569680
85	34409	565753
86	34638	562574
87	34865	559430
88	35074	556062
89	35235	552024
90	35494	549580
91	35676	546009
92	35810	541772
93	36016	538716
94	36058	533292
95	36181	529150
96	36314	525247
97	36481	521901
98	36644	518577
99	36773	514835
100	36892	511017
101	37053	507856
102	37205	504617
103	37351	501376
104	37466	497770
105	37624	494796
106	37780	491848
107	37949	489121
108	38081	485973
109	38264	483517
110	38432	480925
111	38566	477946
112	38708	475124
113	38856	472419
114	38975	469395
115	39139	466968
116	39288	464407
117	39415	461626
118	39546	458934
119	39697	456526
120	39847	454134
121	39980	451586
122	40095	448869
123	40277	446946
124	40453	444988
125	40627	443032
126	40748	440532
127	40892	438311
128	41077	436564
129	41129	433442
130	41254	431128
131	41306	428086
132	41487	426412
133	41610	424178
134	41749	422129
135	41918	420413
136	41964	417500
137	42081	415324
138	42253	413719
139	42474	412604
140	42598	410576
141	42705	408411
142	42934	407431
143	43083	405706
144	43232	404003
145	43374	402252
146	43464	400051
147	43644	398702
